maturity_years,greece_discount_factor,italy_discount_factor,india_discount_factor,difference_gr_minus_it,difference_gr_minus_in,difference_it_minus_in
0.5,0.9912111948421851,0.9929211147600208,0.977712374272898,-0.001709919917835645,0.013498820569287084,0.01520874048712273
1.0,0.9816482724842913,0.9841613988128309,0.9512031491722368,-0.0025131263285396166,0.03044512331205451,0.03295824964059413
2.0,0.9600684496981348,0.9620930086724482,0.8943538534365312,-0.0020245589743134174,0.06571459626160359,0.067739155235917
3.0,0.93531749684388,0.9350081809991664,0.8385630030685138,0.00030931584471360907,0.09675449377536616,0.09644517793065255
5.0,0.8781820599924544,0.8710986917457983,0.7363635627901589,0.007083368246656008,0.14181849720229545,0.13473512895563944
7.0,0.8152069380810836,0.80168792919825,0.6450846192140579,0.013519008882833528,0.17012231886702567,0.15660330998419214
10.0,0.7201471541251182,0.699772497734611,0.5246950286659366,0.020374656390507173,0.19545212545918156,0.17507746906867439
15.0,0.5808557288783058,0.5534554662547441,0.365344389726738,0.027400262623561766,0.21551133915156784,0.18811107652800607
20.0,0.46969468180304347,0.4387578118737861,0.25186856327888635,0.03093686992925737,0.21782611852415712,0.18688924859489975
30.0,0.2904401698959684,0.2785939314996033,0.11961911251237548,0.01184623839636506,0.1708210573835929,0.15897481898722784
